Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_SGD.yaml	222	0	0.0	5.16	49.257	11.269	0.0	4.754	45.51	9.975
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_SGD.yaml	222	1	0.0	6.168	47.236	14.172	0.0	5.526	43.178	11.981
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_SGD.yaml	222	2	0.0	9.259	42.482	16.937	0.0	8.421	40.936	15.346
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_SGD.yaml	222	3	0.0	15.728	36.049	17.866	0.0	13.502	37.024	17.155
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_SGD.yaml	222	4	0.0	23.874	34.389	19.901	0.0	19.578	35.075	18.474
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_SGD.yaml	222	5	0.0	32.517	33.471	22.033	0.0	26.768	32.701	19.057
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_SGD.yaml	222	6	0.0	39.144	35.034	24.818	0.0	31.09	33.747	20.926
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_SGD.yaml	222	7	0.0	47.368	33.224	24.997	0.0	37.441	31.299	20.487
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_SGD.yaml	222	8	0.0	55.461	35.569	29.244	0.0	43.308	33.18	23.273
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_SGD.yaml	222	9	0.0	60.084	37.068	32.224	0.0	47.538	33.832	24.709
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_SGD.yaml	222	10	0.0	63.58	40.87	38.249	0.0	52.122	35.867	27.755
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_SGD.yaml	222	11	0.0	66.357	40.965	39.454	0.0	54.112	34.815	27.704
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_SGD.yaml	222	12	0.0	69.853	43.497	44.558	0.0	58.656	36.11	30.185
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_SGD.yaml	222	13	0.0	72.787	42.929	45.363	0.0	61.498	36.92	32.073
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_SGD.yaml	222	14	0.0	75.354	44.745	49.658	0.0	63.777	39.28	35.774
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_SGD.yaml	222	15	0.0	77.331	45.31	51.453	0.0	65.073	40.28	37.554
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_SGD.yaml	222	16	0.0	79.479	45.26	52.933	0.0	65.833	39.41	37.114
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_SGD.yaml	222	17	0.0	80.946	45.771	54.712	0.0	68.766	43.805	43.383
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_SGD.yaml	222	18	0.0	86.092	45.057	57.067	0.0	73.599	45.668	48.821
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_SGD.yaml	222	19	0.0	87.153	44.745	57.059	0.0	74.738	46.296	49.716
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_SGD.yaml	222	20	0.0	88.816	44.342	57.459	0.0	79.047	47.117	53.456
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_SGD.yaml	222	21	0.0	88.62	44.257	57.637	0.0	76.729	46.304	50.201
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_SGD.yaml	222	22	0.0	90.898	43.477	58.879	0.0	80.644	47.062	55.1
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_SGD.yaml	222	23	0.0	90.702	43.635	59.309	0.0	78.523	46.187	51.093
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_SGD.yaml	222	24	0.0	91.291	42.68	58.512	0.0	82.583	46.757	55.624
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_SGD.yaml	222	25	0.0	90.257	43.456	58.917	0.0	84.102	46.299	55.603
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_SGD.yaml	222	26	0.0	92.548	42.165	58.509	0.0	86.472	45.583	57.397
dpn107	configs_multi/dpn107/config_dpn107_ArcFace_SGD.yaml	222	27	0.0	92.928	42.344	60.116	0.0	82.15	47.009	55.483
