ids,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15
0,6088,6388,109,497,769,285,3121,2560,2906,1734,396,1734,3052,123,769,1782
1,2605,2550,362,3059,769,898,2409,2142,2906,1216,396,1782,3052,1782,769,1782
2,6496,3013,3506,2507,769,2398,2756,2142,3209,2409,419,1734,3052,3209,2398,3052
3,6496,3013,109,3313,1416,773,420,2740,2202,1126,3106,1156,3406,3421,3106,2462
4,6496,3013,3506,1723,1518,2308,1298,389,1473,2043,680,1535,569,585,2034,363
5,6496,5149,3506,909,2142,2965,1275,455,1374,3211,2825,1919,1715,745,450,165
6,2448,3013,109,1723,1268,1780,1642,2377,1147,1264,2825,2026,19,395,927,2621
7,6496,3013,3506,2507,2288,1780,2441,3271,3271,1526,2825,1999,1723,1633,5554,3142
8,6496,3013,362,2469,2657,2398,2142,2811,354,3017,2825,3353,19,745,3106,1999
9,6496,6178,109,2717,2879,819,1705,3998,5018,123,123,123,1705,3231,41,3098
10,2605,5149,2871,3131,340,2155,973,2581,2339,2309,1200,704,3300,3462,1077,2374
11,6496,3013,2871,2717,2943,2624,1705,2560,2906,832,123,123,1224,123,41,821
12,2605,3154,3121,408,2970,1522,3121,473,3527,2265,1004,961,824,473,1004,1004
13,2605,3154,3121,408,325,2388,2747,3527,3441,1524,1524,346,3441,3441,1563,1524
14,2605,128,4150,408,2970,1522,3121,473,3527,1524,1004,346,824,2245,1318,2961
15,2605,3154,1744,1734,769,3052,2146,473,1705,832,1004,2804,824,123,1585,424
16,2605,3154,3053,497,2249,1522,1039,473,3527,473,1004,2804,824,473,1239,2603
17,6496,5149,362,2507,769,3052,1705,2560,2906,77,824,3338,824,2608,2172,310
18,6496,3013,1744,909,2142,1780,2469,138,354,2627,2969,3477,1629,282,1751,3477
19,6496,6178,6382,1734,2142,3112,2836,852,354,852,976,3477,976,976,976,852
20,2605,2550,1744,2507,769,2398,2142,2142,354,4408,4862,354,976,976,976,852
