Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW.yaml	222	0	0.0	14.209	nan	0.636	0.0	4.138	34.178	0.941
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW.yaml	222	1	0.0	21.307	22.183	0.447	0.0	5.33	23.987	0.603
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW.yaml	222	2	0.0	15.833	16.459	0.62	0.0	3.235	17.275	0.705
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW.yaml	222	3	0.0	4.348	15.348	2.903	0.0	2.541	18.466	3.331
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW.yaml	222	4	0.0	6.155	14.466	4.018	0.0	3.575	17.65	4.221
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW.yaml	222	5	0.0	10.018	14.772	4.994	0.0	5.395	18.483	5.385
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW.yaml	222	6	0.0	11.289	14.358	5.677	0.0	6.718	18.018	6.372
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW.yaml	222	7	0.0	13.777	15.227	6.44	0.0	8.499	17.903	6.733
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW.yaml	222	8	0.0	15.938	14.737	7.265	0.0	10.045	15.974	6.476
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW.yaml	222	9	0.0	18.413	14.304	7.119	0.0	10.739	15.376	6.236
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW.yaml	222	10	0.0	19.539	13.542	6.974	0.0	12.467	15.061	6.751
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW.yaml	222	11	0.0	20.534	13.369	7.212	0.0	12.965	15.034	6.705
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW.yaml	222	12	0.0	21.386	12.978	7.117	0.0	13.829	14.551	6.812
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW.yaml	222	13	0.0	20.561	13.445	7.423	0.0	13.463	13.074	6.116
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW.yaml	222	14	0.0	22.263	12.93	7.192	0.0	13.973	13.925	6.816
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW.yaml	222	15	0.0	22.931	12.991	7.309	0.0	14.445	13.805	6.57
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW.yaml	222	16	0.0	25.026	12.473	7.422	0.0	15.61	14.111	6.873
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW.yaml	222	17	0.0	24.502	12.434	7.34	0.0	17.457	13.513	7.099
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW.yaml	222	18	0.0	26.008	12.334	7.533	0.0	17.588	13.197	6.919
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW.yaml	222	19	0.0	25.891	12.503	7.641	0.0	18.138	13.215	6.918
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW.yaml	222	20	0.0	26.283	12.166	7.563	0.0	17.365	13.213	7.001
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW.yaml	222	21	0.0	27.043	12.241	7.708	0.0	18.95	13.011	6.996
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW.yaml	222	22	0.0	27.475	11.985	7.336	0.0	18.098	13.052	7.0
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW.yaml	222	23	0.0	27.043	11.95	7.421	0.0	19.303	12.669	6.878
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW.yaml	222	24	0.0	29.02	11.986	7.711	0.0	19.552	12.356	6.794
inception_resnet_v2	configs_multi/inception_resnet_v2/config_inception_resnet_v2_CosFace_AdamW.yaml	222	25	0.0	27.973	11.719	7.54	0.0	18.57	12.903	7.128
