Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_AdamW.yaml	222	0	0.0	5.33	6.645	0.333	0.0	4.741	6.989	0.304
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_AdamW.yaml	222	1	0.0	2.423	8.491	1.325	0.065	1.558	8.987	1.311
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_AdamW.yaml	222	2	0.026	6.417	9.665	3.239	0.0	4.439	7.251	2.031
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_AdamW.yaml	222	3	0.026	10.712	9.15	3.822	0.0	7.412	9.099	3.417
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_AdamW.yaml	222	4	0.0	13.463	9.223	4.399	0.0	10.699	9.958	4.26
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_AdamW.yaml	222	5	0.013	18.465	9.659	5.084	0.0	12.507	10.489	4.791
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_AdamW.yaml	222	6	0.052	24.057	10.009	5.87	0.013	15.623	11.507	5.674
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_AdamW.yaml	222	7	0.0	28.457	9.928	6.271	0.0	18.937	11.56	6.21
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_AdamW.yaml	222	8	0.013	30.251	10.025	6.496	0.0	20.076	11.477	6.317
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_AdamW.yaml	222	9	0.0	34.652	10.171	6.89	0.0	24.018	11.97	7.074
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_AdamW.yaml	222	10	0.052	35.385	10.363	7.184	0.0	25.157	11.546	7.004
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_AdamW.yaml	222	11	0.013	36.852	10.395	7.305	0.0	25.838	11.642	7.199
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_AdamW.yaml	222	12	0.026	38.541	10.122	7.325	0.0	27.881	11.598	7.373
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_AdamW.yaml	222	13	0.026	40.191	10.287	7.441	0.0	29.047	11.724	7.537
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_AdamW.yaml	222	14	0.0	40.767	10.146	7.507	0.0	30.448	11.661	7.662
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_AdamW.yaml	222	15	0.079	41.357	10.251	7.621	0.0	30.107	11.965	8.023
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_AdamW.yaml	222	16	0.079	43.897	10.12	7.79	0.0	31.705	11.649	7.907
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_AdamW.yaml	222	17	0.026	43.635	10.388	8.003	0.0	31.561	11.652	7.92
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_AdamW.yaml	222	18	0.013	44.133	10.205	7.975	0.0	32.019	11.615	7.944
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_AdamW.yaml	222	19	0.039	45.613	10.124	7.995	0.0	33.997	11.927	8.266
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_AdamW.yaml	222	20	0.026	46.215	10.749	8.438	0.0	34.102	11.62	8.143
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_AdamW.yaml	222	21	0.039	46.556	10.213	8.112	0.0	34.324	11.642	8.273
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_AdamW.yaml	222	22	0.0	47.643	10.487	8.474	0.0	36.315	11.765	8.327
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_AdamW.yaml	222	23	0.196	47.63	10.619	8.518	0.0	35.464	11.803	8.394
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_MagFace_AdamW.yaml	222	24	0.0	48.743	10.501	8.699	0.0	36.93	11.678	8.453
