ids,epoch_0
0,2928
1,2928
2,2928
3,2928
4,2928
5,2928
6,2928
7,2928
8,2928
9,2928
10,2928
11,2928
12,2928
13,2928
14,2928
15,2928
16,2928
17,2928
18,2928
19,2928
20,2928
21,2928
22,2928
23,2928
24,2928
25,2928
26,2928
27,2928
28,2928
29,2928
30,2928
31,2928
32,2928
33,2928
34,2928
35,2928
36,2928
37,2928
38,2928
39,2928
40,2928
41,2928
42,2928
43,2928
44,2928
45,2928
46,2928
47,2928
48,2928
49,2928
50,2928
51,2928
52,2928
53,2928
54,2928
55,2928
56,2928
57,2928
58,2928
59,2928
60,2928
61,2928
62,2928
63,2928
64,2928
65,2928
66,2928
67,2928
68,2928
69,2928
70,2928
71,2928
72,2928
73,2928
74,2928
75,2928
76,2928
77,2928
78,2928
79,2928
80,2928
81,2928
82,2928
83,2928
84,2928
85,2928
86,2928
87,2928
88,2928
89,2928
90,2928
91,2928
92,2928
93,2928
94,2928
95,2928
96,2928
97,2928
98,2928
99,2928
100,2928
101,2928
102,2928
103,2928
104,2928
105,2928
106,2928
107,2928
108,2928
109,2928
110,2928
111,2928
112,2928
113,2928
114,2928
115,2928
116,2928
117,2928
118,2928
119,2928
120,2928
121,2928
122,2928
123,2928
124,2928
125,2928
126,2928
127,2928
128,2928
129,2928
130,2928
131,2928
132,2928
133,2928
134,2928
135,2928
136,2928
137,2928
138,2928
139,2928
140,2928
141,2928
142,2928
143,2928
144,2928
145,2928
146,2928
147,2928
148,2928
149,2928
150,2928
151,2928
152,2928
153,2928
154,2928
155,2928
156,2928
157,2928
158,2928
159,2928
160,2928
161,2928
162,2928
163,2928
164,2928
165,2928
166,2928
167,2928
168,2928
169,2928
170,2928
171,2928
172,2928
173,2928
174,2928
175,2928
176,2928
177,2928
178,2928
179,2928
180,2928
181,2928
182,2928
183,2928
184,2928
185,2928
186,2928
187,2928
188,2928
189,2928
190,2928
191,2928
192,2928
193,2928
194,2928
195,2928
196,2928
197,2928
198,2928
199,2928
200,2928
201,2928
202,2928
203,2928
204,2928
205,2928
206,2928
207,2928
208,2928
209,2928
210,2928
211,2928
212,2928
213,2928
214,2928
215,2928
216,2928
217,2928
218,2928
219,2928
220,2928
221,2928
222,2928
223,2928
224,2928
225,2928
226,2928
227,2928
