Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_ArcFace_SGD.yaml	222	0	0.0	2.868	5.213	0.57	0.0	2.397	7.319	0.751
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_ArcFace_SGD.yaml	222	1	0.0	6.6	0.388	0.086	0.0	4.963	0.444	0.083
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_ArcFace_SGD.yaml	222	2	0.0	6.731	0.393	0.088	0.0	5.147	0.446	0.081
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_ArcFace_SGD.yaml	222	3	0.0	6.875	0.361	0.081	0.0	5.068	0.37	0.069
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_ArcFace_SGD.yaml	222	4	0.0	6.993	0.301	0.068	0.0	4.767	0.317	0.062
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_ArcFace_SGD.yaml	222	5	0.0	6.325	0.289	0.059	0.0	4.426	0.334	0.06
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_ArcFace_SGD.yaml	222	6	0.0	6.05	0.257	0.052	0.0	4.217	0.289	0.049
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_ArcFace_SGD.yaml	222	7	0.0	6.142	0.244	0.048	0.0	4.387	0.31	0.049
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_ArcFace_SGD.yaml	222	8	0.0	6.705	0.239	0.043	0.0	5.317	0.266	0.042
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_ArcFace_SGD.yaml	222	9	0.0	8.185	0.24	0.044	0.0	9.77	0.267	0.04
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_ArcFace_SGD.yaml	222	10	0.0	19.107	nan	0.011	0.0	8.539	nan	0.01
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_ArcFace_SGD.yaml	222	11	0.0	4.348	nan	0.003	0.0	0.681	nan	0.001
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_ArcFace_SGD.yaml	222	12	0.0	2.619	nan	0.003	0.0	0.327	nan	0.001
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_ArcFace_SGD.yaml	222	13	0.0	1.82	nan	0.002	0.0	0.105	nan	0.001
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_ArcFace_SGD.yaml	222	14	0.0	3.104	nan	0.005	0.0	0.616	nan	0.003
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_ArcFace_SGD.yaml	222	15	0.0	2.37	nan	0.002	0.0	0.38	nan	0.001
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_ArcFace_SGD.yaml	222	16	0.0	3.13	nan	0.007	0.0	0.498	nan	0.005
ghostnet_100	configs_multi/ghostnet_100/config_ghostnet_100_ArcFace_SGD.yaml	222	17	0.0	1.126	nan	0.001	0.0	0.144	nan	0.001
