ids,epoch_100,epoch_19,epoch_25,epoch_24
0,31,31,31,31
1,31,31,31,31
2,31,31,31,31
3,31,31,31,31
4,31,31,31,31
5,31,31,31,31
6,31,31,31,31
7,31,31,31,31
8,31,31,31,31
9,31,31,31,31
10,31,31,31,31
11,31,31,31,31
12,31,31,31,31
13,31,31,31,31
14,31,31,31,31
15,31,31,31,31
16,31,31,31,31
17,31,31,31,31
18,31,31,31,31
19,31,31,31,31
20,31,31,31,31
21,31,31,31,31
22,31,31,31,31
23,31,31,31,31
24,31,31,31,31
25,31,31,31,31
26,31,31,31,31
27,31,31,31,31
28,31,31,31,31
29,31,31,31,31
30,31,31,31,31
31,31,31,31,31
32,31,31,31,31
33,31,31,31,31
34,31,31,31,31
35,31,31,31,31
36,31,31,31,31
37,31,31,31,31
38,31,31,31,31
39,31,31,31,31
40,31,31,31,31
41,31,31,31,31
42,31,31,31,31
43,31,31,31,31
44,31,31,31,31
45,31,31,31,31
46,31,31,31,31
47,31,31,31,31
48,31,31,31,31
49,31,31,31,31
50,31,31,31,31
51,31,31,31,31
52,31,31,31,31
53,31,31,31,31
54,31,31,31,31
55,31,31,31,31
56,31,31,31,31
57,31,31,31,31
58,31,31,31,31
59,31,31,31,31
60,31,31,31,31
61,31,31,31,31
62,31,31,31,31
63,31,31,31,31
64,31,31,31,31
65,31,31,31,31
66,31,31,31,31
67,31,31,31,31
68,31,31,31,31
69,31,31,31,31
70,31,31,31,31
71,31,31,31,31
72,31,31,31,31
73,31,31,31,31
74,31,31,31,31
75,31,31,31,31
76,31,31,31,31
77,31,31,31,31
78,31,31,31,31
79,31,31,31,31
80,31,31,31,31
81,31,31,31,31
82,31,31,31,31
83,31,31,31,31
84,31,31,31,31
85,31,31,31,31
86,31,31,31,31
87,31,31,31,31
88,31,31,31,31
89,31,31,31,31
90,31,31,31,31
91,31,31,31,31
92,31,31,31,31
93,31,31,31,31
94,31,31,31,31
95,31,31,31,31
96,31,31,31,31
97,31,31,31,31
98,31,31,31,31
99,31,31,31,31
100,31,31,31,31
101,31,31,31,31
102,31,31,31,31
103,31,31,31,31
104,31,31,31,31
105,31,31,31,31
106,31,31,31,31
107,31,31,31,31
108,31,31,31,31
109,31,31,31,31
110,31,31,31,31
111,31,31,31,31
112,31,31,31,31
113,31,31,31,31
114,31,31,31,31
115,31,31,31,31
116,31,31,31,31
117,31,31,31,31
118,31,31,31,31
119,31,31,31,31
120,31,31,31,31
121,31,31,31,31
122,31,31,31,31
123,31,31,31,31
124,31,31,31,31
125,31,31,31,31
126,31,31,31,31
127,31,31,31,31
128,31,31,31,31
129,31,31,31,31
130,31,31,31,31
131,31,31,31,31
132,31,31,31,31
133,31,31,31,31
134,31,31,31,31
135,31,31,31,31
136,31,31,31,31
137,31,31,31,31
138,31,31,31,31
139,31,31,31,31
140,31,31,31,31
141,31,31,31,31
142,31,31,31,31
143,31,31,31,31
144,31,31,31,31
145,31,31,31,31
146,31,31,31,31
147,31,31,31,31
148,31,31,31,31
149,31,31,31,31
150,31,31,31,31
151,31,31,31,31
152,31,31,31,31
153,31,31,31,31
154,31,31,31,31
155,31,31,31,31
156,31,31,31,31
157,31,31,31,31
158,31,31,31,31
159,31,31,31,31
160,31,31,31,31
161,31,31,31,31
162,31,31,31,31
163,31,31,31,31
164,31,31,31,31
165,31,31,31,31
166,31,31,31,31
167,31,31,31,31
168,31,31,31,31
169,31,31,31,31
170,31,31,31,31
171,31,31,31,31
172,31,31,31,31
173,31,31,31,31
174,31,31,31,31
175,31,31,31,31
176,31,31,31,31
177,31,31,31,31
178,31,31,31,31
179,31,31,31,31
180,31,31,31,31
181,31,31,31,31
182,31,31,31,31
183,31,31,31,31
184,31,31,31,31
185,31,31,31,31
186,31,31,31,31
187,31,31,31,31
188,31,31,31,31
189,31,31,31,31
190,31,31,31,31
191,31,31,31,31
192,31,31,31,31
193,31,31,31,31
194,31,31,31,31
195,31,31,31,31
196,31,31,31,31
197,31,31,31,31
198,31,31,31,31
199,31,31,31,31
200,31,31,31,31
201,31,31,31,31
202,31,31,31,31
203,31,31,31,31
204,31,31,31,31
205,31,31,31,31
206,31,31,31,31
207,31,31,31,31
208,31,31,31,31
209,31,31,31,31
210,31,31,31,31
211,31,31,31,31
212,31,31,31,31
213,31,31,31,31
214,31,31,31,31
215,31,31,31,31
216,31,31,31,31
217,31,31,31,31
218,31,31,31,31
219,31,31,31,31
220,31,31,31,31
221,31,31,31,31
222,31,31,31,31
223,31,31,31,31
224,31,31,31,31
225,31,31,31,31
226,31,31,31,31
227,31,31,31,31
228,31,31,31,31
229,31,31,31,31
230,31,31,31,31
231,31,31,31,31
232,31,31,31,31
233,31,31,31,31
234,31,31,31,31
235,31,31,31,31
236,31,31,31,31
237,31,31,31,31
238,31,31,31,31
239,31,31,31,31
240,31,31,31,31
241,31,31,31,31
242,31,31,31,31
243,31,31,31,31
244,31,31,31,31
245,31,31,31,31
246,31,31,31,31
247,31,31,31,31
248,31,31,31,31
249,31,31,31,31
250,31,31,31,31
251,31,31,31,31
252,31,31,31,31
253,31,31,31,31
254,31,31,31,31
255,31,31,31,31
256,31,31,31,31
257,31,31,31,31
258,31,31,31,31
259,31,31,31,31
260,31,31,31,31
261,31,31,31,31
262,31,31,31,31
