Model	config_file	seed	epoch	Acc multi male	Acc k male	Intra male	Inter male	Acc multi female	Acc k female	Intra female	Inter female
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_CosFace_SGD.yaml	222	0	0.0	2.331	22.352	2.649	0.0	1.454	19.981	2.192
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_CosFace_SGD.yaml	222	1	0.0	4.649	28.224	6.7	0.0	3.379	31.404	6.989
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_CosFace_SGD.yaml	222	2	0.0	12.86	30.291	12.327	0.0	8.63	31.27	12.034
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_CosFace_SGD.yaml	222	3	0.0	25.982	32.147	18.624	0.0	17.954	33.192	18.108
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_CosFace_SGD.yaml	222	4	0.0	34.18	35.379	23.476	0.0	24.031	35.562	21.044
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_CosFace_SGD.yaml	222	5	0.0	42.287	37.467	27.84	0.0	31.024	37.961	25.387
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_CosFace_SGD.yaml	222	6	0.0	52.462	37.808	31.831	0.0	37.716	39.183	28.709
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_CosFace_SGD.yaml	222	7	0.0	54.164	39.829	34.73	0.0	39.51	40.802	30.651
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_CosFace_SGD.yaml	222	8	0.0	60.948	41.944	38.452	0.0	46.045	43.428	34.627
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_CosFace_SGD.yaml	222	9	0.0	64.733	42.781	41.137	0.0	51.179	44.03	37.116
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_CosFace_SGD.yaml	222	10	0.0	64.471	44.437	42.448	0.0	51.401	46.175	39.303
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_CosFace_SGD.yaml	222	11	0.0	67.116	45.168	44.117	0.0	55.932	46.521	40.795
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_CosFace_SGD.yaml	222	12	0.0	70.678	45.621	46.27	0.0	58.774	47.131	42.765
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_CosFace_SGD.yaml	222	13	0.0	73.337	45.955	48.223	0.0	62.493	47.799	44.798
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_CosFace_SGD.yaml	222	14	0.0	75.746	46.705	50.077	0.0	64.654	48.205	46.23
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_CosFace_SGD.yaml	222	15	0.0	76.467	47.644	52.206	0.0	66.409	49.316	48.525
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_CosFace_SGD.yaml	222	16	0.0	77.632	47.412	52.373	0.0	67.732	49.244	48.768
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_CosFace_SGD.yaml	222	17	0.0	78.038	48.999	55.057	0.0	68.819	50.105	50.06
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_CosFace_SGD.yaml	222	18	0.0	79.086	48.634	54.76	0.0	71.228	50.773	51.971
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_CosFace_SGD.yaml	222	19	0.0	80.474	49.335	56.504	0.0	71.805	50.792	52.424
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_CosFace_SGD.yaml	222	20	0.0	80.893	49.477	57.288	0.0	72.459	51.099	53.346
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_CosFace_SGD.yaml	222	21	0.0	82.177	49.728	57.935	0.0	73.769	51.474	54.206
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_CosFace_SGD.yaml	222	22	0.0	79.872	50.762	58.067	0.0	70.665	52.205	54.031
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_CosFace_SGD.yaml	222	23	0.0	81.875	50.416	58.422	0.0	73.573	51.761	54.554
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_CosFace_SGD.yaml	222	24	0.0	82.884	50.5	59.211	0.0	75.485	52.324	56.082
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_CosFace_SGD.yaml	222	25	0.0	81.823	51.674	60.99	0.0	74.777	52.636	56.737
gluon_xception65	configs_multi/gluon_xception65/config_gluon_xception65_CosFace_SGD.yaml	222	26	0.0	80.631	51.86	61.144	0.0	75.419	53.134	57.613
